Date,Sector,Loans_and_other_receivables,Undrawn_credit_facilities,Guarantees_and_other_commitments,Past_due_30_60,Past_due_60_90,NPA_unlikely_to_pay,NPA_90_180,NPA_180_365,NPA_over_1_year,Impairment_losses_net
2016-06-30,Rest of the world,"28,510,746,306","2,499,197,704","5,699,070,718","9,800,965","9,446,353","50,037,546","27,637,653","7,581,695","26,419,735","11,777,212"
2016-06-30,Sundry,"7,371,256","179,000","20,796,140","281,000","17,000","93,000","167,000","20,000","659,000","-26,600,000"
2016-03-31,Non-financial corporations excl. housing corporations,"47,436,935,099","24,399,162,372","11,177,438,459","126,226,674","29,609,501","1,243,586,317","103,104,813","71,286,738","696,086,981","18,746,756"
2016-03-31,Housing corporations,"14,506,892,137","3,100,715,572","219,634,903","10,753,863","1,692,487","3,073,414","4,355,927","1,765,000","15,490,201","402,312"
2016-03-31,Financial and insurance corporations,"8,970,679,468","1,322,358,008","2,676,964,385","1,190,014","1,807,026","13,483,665","10,000","397,000","430,923","222,884"
2016-03-31,Public entities,"2,847,988,076","1,344,783,268","216,062,000","114,000","1,262,000",0,"2,000","25,000","14,000","-367,000"
2016-03-31,Households,"117,904,469,436","7,782,127,538","96,673,445","438,660,281","122,369,243","956,851,889","269,538,535","225,003,904","576,648,571","11,921,742"
2016-03-31,Non-profit organisations serving households,"1,488,728,569","203,404,089","268,313,462","3,144,126","3,015,110","18,515,000","744,710","234,000","2,965,000","256,000"
2016-03-31,Rest of the world,"27,089,314,570","2,473,426,995","5,331,846,325","63,649,584","13,612,299","79,252,225","4,559,765","18,183,252","10,594,117","6,800,894"
2016-03-31,Sundry,"9,039,134","262,060","17,404,200","216,000","129,000","163,000","249,000","116,000","686,000","-10,016,000"
2015-12-31,Non-financial corporations excl. housing corporations,"48,327,070,878","24,186,662,434","13,641,117,639","98,210,525","30,473,400","1,422,764,836","85,165,203","117,040,170","686,122,948","125,124,624"
2015-12-31,Housing corporations,"14,235,542,680","2,990,912,432","249,169,000","10,890,507","3,060,000","7,857,207","1,048,000","2,906,000","16,151,302","1,750,000"
2015-12-31,Financial and insurance corporations,"8,832,805,556","1,298,557,448","2,719,075,220","136,000","58,000","18,971,000","484,000","23,000","599,000","2,774,306"
2015-12-31,Public entities,"2,611,814,223","1,341,876,454","213,093,000","2,538,000","14,000",0,"52,000","3,000","13,000","1,185,000"
2015-12-31,Households,"117,558,070,667","7,012,147,785","100,921,317","371,455,406","133,595,001","830,608,623","225,037,677","242,060,537","556,566,710","68,833,291"
2015-12-31,Non-profit organisations serving households,"1,476,888,736","210,221,996","283,788,909","236,965","453,000","6,505,000","1,242,000","56,000","3,027,000","1,596,000"
2015-12-31,Rest of the world,"26,314,558,312","2,205,905,250","3,975,207,536","11,260,441","10,453,214","48,940,977","6,488,660","16,228,361","6,641,427","21,343,818"
2015-12-31,Sundry,"8,177,696","125,000","18,873,700","17,000","8,000","2,000","10,000","35,000","645,000","2,474,000"
2015-09-30,Non-financial corporations excl. housing corporations,"47,789,301,610","24,499,731,569","13,118,155,185","78,986,039","48,689,486","1,252,055,636","143,265,930","172,936,636","651,726,575","98,184,294"
2015-09-30,Housing corporations,"14,091,200,899","3,188,340,143","229,328,903","9,613,101","4,499,017","2,314,331","4,594,395","1,732,600","17,334,034","2,222,000"
2015-09-30,Financial and insurance corporations,"8,954,885,991","1,441,496,624","2,784,604,917","209,132","19,015","32,738,385","2,480,025","23,000","737,230","2,521,567"
2015-09-30,Public entities,"2,687,915,350","1,353,229,046","227,333,000","2,542,000","16,000","1,000","52,000","3,000","15,000","1,076,000"
2015-09-30,Households,"116,879,271,925","7,417,589,483","186,545,399","312,964,441","186,358,241","620,363,871","291,866,660","248,953,389","522,843,649","38,657,849"
2015-09-30,Non-profit organisations serving households,"1,426,012,048","182,683,088","289,104,819","152,097","380,224","7,132,000","313,129","1,111,000","2,997,000","1,394,000"
2015-09-30,Rest of the world,"41,997,497,990","2,079,233,122","4,914,602,197","11,517,888","26,271,142","50,076,008","3,882,724","20,101,456","9,304,375","7,480,000"
2015-09-30,Sundry,"14,025,910","219,000","19,026,130","12,000","9,000","4,000","30,000","16,000","767,000","-3,592,000"
2015-06-30,Non-financial corporations excl. housing corporations,"42,878,693,556","21,277,299,754","13,491,784,581","88,829,271","43,744,480","1,343,150,986","130,192,864","159,933,063","637,647,140","66,795,739"
2015-06-30,Housing corporations,"13,742,864,010","2,740,289,469","194,439,903","7,997,888","10,652,865","6,837,476","1,617,000","3,309,329","16,548,034","2,378,000"
2015-06-30,Financial and insurance corporations,"8,969,584,431","1,400,223,344","3,096,488,482","544,066","20,000","16,952,745","1,660,000","331,998","514,986","525,680"
2015-06-30,Public entities,"2,428,197,640","1,629,060,046","230,773,000","73,044,000","9,000","8,000","2,000","19,000",0,"42,000"
2015-06-30,Households,"112,942,704,788","10,181,854,623","192,058,172","259,864,811","178,374,375","864,339,158","271,847,097","236,407,847","515,802,817","18,470,277"
2015-06-30,Non-profit organisations serving households,"1,406,344,001","199,526,330","316,470,819","329,000","489,000","6,648,000","979,000","822,000","4,009,000","748,000"
2015-06-30,Rest of the world,"50,238,973,479","2,383,974,597","4,964,522,900","6,555,959","18,270,514","48,707,708","3,723,971","24,760,430","9,955,197","16,880,000"
2015-06-30,Sundry,"21,844,168","229,000","15,634,630","9,000","14,000","38,000","18,000","22,000","735,000","989,254"
2015-03-31,Non-financial corporations excl. housing corporations,"47,691,517,570","24,004,956,000","13,781,404,000","104,901,000","58,347,000","1,340,383,000","143,538,000","172,169,000","608,718,000","40,590,600"
2015-03-31,Housing corporations,"13,425,959,000","2,781,759,000","37,298,000","48,804,000","2,125,000","5,823,000","4,212,000","5,648,000","16,569,000","130,000"
2015-03-31,Financial and insurance corporations,"9,013,364,298","1,402,542,000","2,988,105,000","1,034,000","2,753,000","17,062,000","20,255,000","470,000","525,000","267,000"
2015-03-31,Public entities,"2,668,713,000","846,984,000","218,684,000","39,000","138,000",0,0,"23,000","7,000",0
2015-03-31,Households,"114,686,849,720","7,034,591,000","184,688,000","362,837,000","132,477,000","849,252,000","228,007,000","220,022,000","474,200,000","14,918,600"
2015-03-31,Non-profit organisations serving households,"1,430,320,000","170,164,000","17,518,000","419,000","159,000","7,066,000","686,000","453,000","3,423,000","1,362,000"
2015-03-31,Rest of the world,"45,753,780,000","1,720,439,000","5,485,163,000","5,802,000","18,596,981","48,057,134","7,648,000","33,531,000","6,271,412","5,985,800"
2015-03-31,Sundry,"22,141,000","2,775,000","15,590,000","29,000","57,000","2,000","61,000","52,000","729,000","-4,467,000"
2014-12-31,Non-financial corporations excl. housing corporations,"45,621,214,432","25,215,347,707","15,777,300,991","120,224,122","78,151,087","1,267,200,000","112,147,713","178,951,145","654,772,463","130,538,000"
2014-12-31,Housing corporations,"13,145,508,553","1,341,039,935","39,818,000","9,161,000","2,878,000","7,106,000","2,176,000","2,555,000","16,069,302","243,000"
2014-12-31,Financial and insurance corporations,"9,366,313,086","889,326,883","2,649,534,966","1,277,000","116,000","17,208,000","3,144,000","34,000","391,694","464,000"
2014-12-31,Public entities,"2,495,764,604","583,938,454","247,801,000","485,000",0,0,"120,000","35,000",0,"-5,000"
2014-12-31,Households,"111,382,349,066","9,953,731,873","68,611,860","373,701,329","181,952,097","777,040,236","211,248,151","237,195,254","440,067,756","91,442,000"
2014-12-31,Non-profit organisations serving households,"4,321,327,371","56,768,700","33,277,729","434,000","268,000","5,755,000","287,000","753,000","3,320,000","257,000"
2014-12-31,Rest of the world,"42,337,340,349","1,964,749,902","5,600,464,634","28,559,760","22,718,806","48,873,000","20,923,351","25,256,672","20,123,295","-1,274,000"
2014-12-31,Sundry,"31,328,972","101,000","23,266,000","17,000","15,000","2,000","10,000","4,000","10,000","-1,930,000"
